Dominant_Topic,Keywords
98,"crowd, flower, man, bowl, back, hippogriff, purple, orb, one, warp"
99,"peter, said, reed, ben, ching, admiral, woodbine, year, captain, overdrive"
100,"mary, consort, road, wa, office, faraday, cottage, sye, street, half"
101,"wa, ash, man, pin, one, like, ten, ball, sung, alley"
102,"universe, earl, particle, said, law, loop, citizen, vault, bank, da"
103,"wa, one, earth, time, could, year, world, human, system, first"
104,"demon, said, one, well, blick, beater, day, rifle, burka, hundred"
105,"lens, chess, atom, galaxy, picture, villa, one, monk, going, stator"
106,"boat, sail, deck, aboard, sea, wa, cabin, wind, mast, yacht"
107,"window, room, wa, door, house, wall, table, floor, light, glass"
108,"wa, saunders, would, one, bucky, chamber, could, come, thought, first"
109,"robot, said, superman, kent, clark, man, human, well, disposal, model"
110,"ship, wa, said, landing, would, grid, planet, could, colony, men"
111,"magic, art, knight, thou, gate, thee, thy, shall, statue, magician"
112,"brand, said, dad, jimmy, get, rain, town, expressway, going, house"
113,"said, vote, institute, science, transcendental, maria, roger, political, planet, medium"
114,"matter, hotel, room, frog, would, wa, clerk, like, eve, dining"
115,"general, officer, sergeant, lieutenant, one, commander, soldier, wa, captain, major"
116,"wa, saltus, camera, bench, lantern, engineer, hatch, snake, box, light"
117,"machine, tag, wa, one, trill, chase, yellow, pen, game, around"
118,"thousand, million, dollar, cent, new, five, wa, hundred, space, two"
119,"two, weapon, men, spear, wa, cart, could, would, one, back"
120,"wa, door, room, one, wall, would, jaeger, floor, open, corridor"
121,"soul, flesh, image, face, eye, ha, moment, begin, touch, say"
122,"bridge, pilot, copter, jelly, wa, ace, one, voice, gunnery, two"
123,"lord, toy, wa, said, stockholder, eye, would, palace, horn, creel"
124,"sam, wa, slug, crazy, lotus, like, floater, would, ship, alien"
125,"sanity, academy, wa, therapy, thought, broadway, status, procurator, thrower, number"
126,"people, world, said, great, one, year, like, know, long, beautiful"
127,"wa, would, holm, still, something, could, back, even, one, laboratory"
128,"said, prince, guild, one, wa, watcher, pilgrim, invader, come, palace"
129,"woman, male, female, kali, men, sister, sex, human, power, man"
130,"said, wa, drink, food, coffee, cup, table, eat, wine, meat"
131,"said, wa, know, get, like, think, got, one, right, thing"
132,"dream, happy, wa, dreamer, addict, department, un, institute, damn, al"
133,"green, cord, wa, would, raft, cat, amra, island, duke, roller"
134,"wa, plan, barge, oh, man, warship, harbour, one, catalyst, cold"
135,"wa, dill, could, would, matrix, para, one, time, enough, round"
136,"one, body, death, would, must, dream, come, die, dead, know"
137,"rock, dust, sand, desert, lizard, ridge, cub, fine, drift, womb"
138,"one, say, like, horse, come, go, never, little, back, instructor"
139,"cole, city, voice, tape, wa, mirror, recorder, someone, hey, band"
140,"wa, one, would, could, time, thing, even, long, like, made"
141,"bed, hospital, blood, nurse, doctor, heart, chart, hour, monitor, franklin"
142,"master, penny, mistress, smog, wa, seigneur, air, good, cliff, would"
143,"swamp, billy, back, manager, yes, day, wave, bum, da, five"
144,"said, queen, sal, satellite, walt, tomb, dwarf, door, speech, worm"
145,"colonel, elevator, general, imperial, said, space, transporter, grand, nick, great"
146,"state, war, president, united, nation, country, government, missile, minister, senator"
147,"nelson, wolf, eric, thought, clan, sloan, li, valley, kin, forest"
148,"brain, body, nerve, organ, bone, capsule, human, sleep, muscle, inside"
149,"wa, could, would, one, brad, might, though, time, destroyer, even"
150,"said, smith, hound, wa, myth, victim, detective, supernatural, one, would"
151,"needle, eye, betty, doctor, would, pipe, back, otto, go, one"
152,"sand, beach, sea, like, dune, travis, away, wave, warden, ralph"
153,"marshal, man, men, someone, like, two, arm, prof, young, clapping"
154,"warren, wa, man, administrator, even, could, civil, city, office, would"
155,"wa, city, police, one, man, mutant, two, new, way, human"
156,"hank, wa, willie, mila, darby, said, tam, thought, night, like"
157,"island, drake, wa, plane, one, ground, wind, light, said, went"
158,"panel, light, square, sphere, net, tractor, bubble, black, building, disk"
159,"rot, rover, sterile, red, two, immune, outside, witch, area, citadel"
160,"wa, thing, great, old, hill, one, place, must, strange, night"
161,"wa, said, man, voice, face, one, eye, men, moment, chair"
162,"un, city, asteroid, factory, ore, sled, would, mark, lunar, moon"
163,"tunnel, food, belt, said, grove, rod, get, wa, herd, feed"
164,"wa, man, old, could, would, horn, woman, young, face, eye"
165,"wa, beetle, time, mel, would, one, tap, even, comic, made"
166,"tentacle, clay, black, cadence, gang, one, tab, overseer, order, like"
167,"wa, filament, one, world, would, feeder, could, marriage, wall, eye"
168,"wa, yard, world, man, one, limpkin, men, first, victory, people"
169,"wa, papa, two, could, would, mind, even, pollard, knew, make"
170,"morgan, jo, lump, drill, one, di, comet, earth, soldier, come"
171,"wa, would, day, one, could, year, time, still, even, old"
172,"wa, shandy, know, like, eye, good, year, psi, one, hair"
173,"wa, day, would, one, time, year, two, story, three, school"
174,"wa, one, well, made, like, much, life, human, job, air"
175,"child, boy, adult, school, teacher, said, one, genius, family, parent"
176,"tree, forest, leaf, branch, said, strong, trunk, wa, wood, limb"
